Letter ID,Title,Date,Creator,Top Terms (comma-separated)
237,"Edvard Eidum to Alma C. Wilson Card 1948.11.23",1948.11.23,"Edvard Eidum","joyous(1.100), eidums(0.778), wishing(0.661), christmas(0.226), regards(0.219)"
238,"Herborg Holm to Alma C. Wilson Card 1948.11.24",1948.11.24,"Herborg Holm","24-11-48(0.145), carol(0.145), ankle(0.127), verse(0.116), irene(0.098), foot(0.094), ruth(0.094), broken(0.082), card(0.074), sons(0.072)"
239,"Laura Karlson to Alma C. Wilson 1948.12.19",1948.12.19,"Laura Karlson","12-1948(0.050), briefly(0.050), tempted(0.050), antenna(0.050), hardship(0.050), heads(0.050), mindor(0.050), ladder(0.044), floss(0.044), proper(0.044)"
240,"Edvard Eidum to Alma C. Wilson 1949.2.1",1949.02.01,"Edvard Eidum","storms(0.047), wars(0.035), everywhere(0.028), hospital(0.024), 2-1949(0.023), hurricane-like(0.023), wrecked(0.023), blown(0.023), cattle(0.023), tribulation(0.023)"
241,"Axel Holm to Alma C. Wilson 1949.11.27",1949.11.27,"Axel Holm","tray(0.067), working(0.039), 27-11-1949(0.034), 64th(0.034), rowed(0.034), herd(0.034), snowflakes(0.034), frozen(0.034), quickly(0.031), bell(0.029)"
242,"Edvard Eidum to Alma C. Wilson Card 1949.12",1949.12,"Edvard Eidum","edv(0.593), wishing(0.551), merry(0.445), happy(0.255), hanna(0.224), christmas(0.189)"
243,"Herborg Holm to Alma C. Wilson Card 1949.12.15",1949.12.15,"Herborg Holm","pig(0.092), christmas(0.063), cookies(0.054), merry(0.049), kitchen(0.048), clean(0.046), kinds(0.045), etc(0.042), 15-12-49(0.034), painting(0.034)"
244,"Larua Karlson to Alma C. Wilson 1949.12.29",1949.12.29,"Laura Karlson","fabric(0.061), handkerchief(0.055), office(0.047), why(0.042), therefore(0.041), 12-1949(0.039), annoying(0.039), realized(0.039), mindor(0.039), lost(0.036)"
245,"Edvard Eidum to Alma C. Wilson 1950.1.5",1950.01.05,"Edvard Eidum","heathen(0.041), christian(0.033), countries(0.031), information(0.026), gift(0.025), sell(0.025), edvard(0.021), 1-1950(0.020), burden(0.020), knocking(0.020)"
246,"Axel Holm to Alma C. Wilson 1950.1.20",1950.01.20,"Axel Holm","quotes(0.073), growing(0.047), psalm(0.045), 20-1-50(0.036), yearning(0.036), beam(0.036), darkness(0.036), stains(0.036), breaking(0.036), verb(0.036)"
247,"Axel Holm to Alma C. Wilson 1950.8.20",1950.08.20,"Axel Holm","1950(0.042), youth(0.038), rule(0.037), flowers(0.036), garden(0.025), lots(0.024), chapel(0.024), die(0.023), employ(0.021), consequently(0.021)"
248,"Hilma Lindgren to Alma C. Wilson 1952.5.20",1952.05.20,"Hilma Lindgren","yarn(0.052), body(0.037), elvegård(0.035), 5-52(0.035), secure(0.035), eczema(0.035), sensibly(0.035), comforting(0.035), jeweler(0.035), 76(0.035)"
