Letter ID,Title,Date,Creator,Top Terms (comma-separated)
52,"Emigration Certificate 1914.7.31",1914.07.31,"Unknown","horneman(0.129), hegre(0.117), h(0.092), 20th(0.087), n(0.084), e(0.079), records(0.065), magnus(0.065), cotter(0.065), thirtieth(0.065)"
53,"Ola Holm to John Holm 1914.10.17",1914.10.17,"Ola Holm","train(0.079), apparently(0.079), happened(0.061), horrible(0.055), imagine(0.046), beside(0.045), track(0.045), pulled(0.045), dragged(0.045), enter(0.045)"
54,"Ola Holm 1914.10.19",1914.10.19,"Ola Holm","train(0.053), 19-14(0.046), resulting(0.046), immediate(0.046), thighs(0.046), blink(0.046), aware(0.046), union(0.046), privately(0.046), dybvad(0.046)"
55,"Olav Holm to John Holm 1915.9.17",1915.09.17,"Olav Holm","funeral(0.091), duty(0.059), peacefully(0.046), appeared(0.046), belonged(0.046), foundation(0.046), orphans(0.046), crossed(0.046), funerals(0.046), thursday(0.046)"
56,"A. H. Voler to Karonline Holm 1916.4.4",1916.04.04,"A. H. Voler","raging(0.044), wise(0.044), 4th(0.034), pray(0.031), house(0.028), power(0.028), looks(0.027), killing(0.025), riot(0.025), prophets(0.025)"
57,"Axel Holm to John Holm 1917.1.30",1917.01.30,"Axel Holm","vangberg(0.099), jesus(0.094), øian(0.087), meetings(0.053), follow(0.050), praise(0.043), wished(0.043), lord(0.038), 30-1-1917(0.033), giant(0.033)"
58,"Ola Holm to John Holm 1917.12.26",1917.12.26,"Ola Holm","suppose(0.067), 26-1917(0.065), harbour(0.065), toke(0.065), rations(0.065), object(0.065), haha(0.065), goten(0.065), oians(0.065), oiens(0.065)"
59,"Ola Holm to John Holm 1923.12.2",1923.12.02,"Ola Holm","shop(0.045), tyrefjord(0.043), cancelled(0.043), rush(0.043), autos(0.043), almanac(0.043), lovingly(0.043), relaxing(0.043), hard(0.039), proper(0.038)"
60,"Sonja Holm to John Holm 1925.3.17",1925.03.17,"Sonja Holm","k(0.135), kicking(0.077), screaming(0.077), cradle(0.077), scout(0.077), unruly(0.077), bisbehaugen(0.077), sledding(0.077), needle(0.077), skating(0.068)"
61,"Berith Holm to John Holm 1925.3.17",1925.03.17,"Berith Holm","inches(0.080), berith(0.070), coat(0.069), begging(0.058), shoulder(0.047), english(0.034), 3-1925(0.033), catalogue(0.033), paying(0.033), prefer(0.033)"
62,"Klara Krogstad to Alma C. Wilson 1932.9.6",1932.09.06,"Klara Krogstad","klara(0.033), hand(0.031), mentions(0.029), dresses(0.029), painful(0.029), 1935(0.028), ansigtsros(0.028), veil(0.028), september(0.027), named(0.025)"
63,"Conrad Holm to John Holm 1926.2.7",1926.02.07,"Conrad Holm","trøan(0.056), built(0.044), 7(0.041), 1926(0.035), kidney(0.035), lasting(0.035), 1920(0.035), bjørgnes(0.035), bauk(0.035), peteranna(0.035)"
64,"Ola Holm to to John Holm 1925.3.25",1925.03.25,"Ola Holm","interest(0.056), reading(0.056), 3-25(0.045), kjæreste(0.045), broder(0.045), surpirse(0.045), nearer(0.045), receipts(0.045), breath(0.045), rosenborgstgt(0.045)"
